Property ID,Usage,Admininstrated by,Name,Ward Number,Address,Unique ID
1000450101469,COMMERCIAL,PRIVATE,SBI BANK,45,S P KANNUSAMY STREET,1000451600054
1000450100668,OTHERS,STATE,POLICE STATION,45,S P KANNUSAMY STREET,1000451600055
1000450100337,COMMERCIAL,PRIVATE,ISWARYA LODGE,45,SHANMUGA GOUNDER STREET,1000451600056
1000450100397,PUBLIC,CORPORATION,CORPORATION TOILET,45,S P KANNUSAMY STREET,1000451600057
1000450100290,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,45,S P KANNUSAMY STREET,1000451600058
1000450100293,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,45,S P KANNUSAMY STREET,1000451600059
1000490100429,TEMPLE,TEMPLE,PALMARI AMMAN TEMPLE,49,KAKKAN STREET,1000491600034
1000490100520,TEMPLE,TEMPLE,OPEN BIBLE COMMUNITY CHURCH,49,KAKKAN STREET,1000491600033
1000490100509,EDUCATIONAL,PRIVATE,ELIDA GARDEN CHILDRENS SCHOOL,49,KAKKAN STREET,1000491600032
1000490100485,EDUCATIONAL,CORPORATION,PLAY SCHOOL,49,SAMPATH STREET THEN VADAL CROSS 1,1000491600031
1000490100501,TEMPLE,TEMPLE,MUTHU MARIAMMAN KOVIL,49,SAMPATH STREET,1000491600030
1000490100484,EDUCATIONAL,CORPORATION,CORPORATION SCHOOL,49,SAMPATH STREET,1000491600029
1000490100011,OFFICE,CORPORATION,CORPORATION COLLECTION CENTER,49,SAMPATH STREET,1000491600028
1000490100568,TEMPLE,TEMPLE,CHURCH,49,NEHRU STREET,1000491600027
1000490100531,HOSPITAL,CORPORATION,DISPENSARY,49,NEHRU STREET,1000491600026
1000490100567,EDUCATIONAL,CORPORATION,CORPORATION SCHOOL,49,NEHRU STREET,1000491600025
1000490100902,INDUSTRIAL,PRIVATE,LAKSHMI INDUSTRIES,49,MATHIALAGAN STREET,1000491600024
1000490101016,TEMPLE,TEMPLE,MARIYAMMAN TEMPLE,49,SASTHRI STREET,1000491600023
1000490101017,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,49,SASTHRI STREET,1000491600022
1000490100305,COMMERCIAL,PRIVATE,BHARAT PETROL BUNK,49,R.KANDASWAMY STREET,1000491600021
1000490100299,TEMPLE,TEMPLE,MUTHU MARIAMMAN KOVIL,49,R.KANDASWAMY STREET,1000491600020
1000490100299,TEMPLE,TEMPLE,MARIYAMMAN TEMPLE,49,R.KANDASWAMY STREET,1000491600019
1000490101232,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,49,SUBRAMANIAM STREET,1000491600018
1000490100203,COMMERCIAL,STATE,RATION SHOP,49,SASTHRI STREET K M CROSS,1000491600017
1000490100166,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,49,SASTHRI STREET K M CROSS,1000491600016
1000490100311,OFFICE,CORPORATION,WARD OFFICE,49,PALANIAMMAL STREET,1000491600015
1000490100658,EDUCATIONAL,CORPORATION,CORPORATION SCHOOL,49,GANAPATHY NANJAPPAN STREET,1000491600014
1000490100745,TEMPLE,TEMPLE,CHURCH,49,GANAPATHY NANJAPPAN STREET,1000491600013
1000490100958,TEMPLE,TEMPLE,VAITHEESWARAN TEMPLE,49,SASTHRI STREET,1000491600012
